EUR
+U1418343   RDSAa   2015-05-07, 11:07:19    2015-05-11  -   BUY 25  27.5800 -689.50 -4.00   0.00     
+U1418343   RDSAa   2015-06-10, 09:32:56    2015-06-12  -   BUY 15  26.0000 -390.00 -4.00   0.00     
+U1418343   RDSAa   2015-07-27, 09:37:40    2015-07-29  -   BUY 20  24.4000 -488.00 -4.00   0.00     
Total RDSAa (Bought)    60  26.1250 -1,567.50   -12.00  0.00     
Total   -1,567.50   -12.00  0.00     
USD
+U1418343   AAPL    2015-01-05, 11:56:06    2015-01-08  -   BUY 10  106.9000    -1,069.00   -1.00   0.00     
+U1418343   AAPL    2015-03-02, 12:35:55    2015-03-05  -   BUY 5   129.0500    -645.25 -1.00   0.00     
+U1418343   AAPL    2015-03-11, 12:48:56    2015-03-16  -   BUY 5   123.6790    -618.40 -1.00   0.00    D
+U1418343   AAPL    2015-04-24, 15:04:18    2015-04-29  -   BUY 10  129.9200    -1,299.20   -1.00   0.00     
+U1418343   AAPL    2015-04-27, 10:03:02    2015-04-30  -   BUY 10  133.0700    -1,330.70   -1.00   0.00     
+U1418343   AAPL    2015-04-27, 14:13:31    2015-04-30  -   BUY 10  131.4300    -1,314.30   -1.00   0.00     
+U1418343   AAPL    2015-04-28, 10:13:15    2015-05-01  -   BUY 10  129.9000    -1,299.00   -1.00   0.00     
+U1418343   AAPL    2015-04-30, 10:18:28    2015-05-05  -   BUY 10  126.0000    -1,260.00   -1.00   0.00     
Total AAPL (Bought) 70  126.2263571 -8,835.84   -8.00   0.00     
+U1418343   AAPL    2015-02-24, 09:48:16    2015-02-27  -   SELL    -5  132.0000    660.00  -1.01   0.00     
+U1418343   AAPL    2015-02-26, 11:07:41    2015-03-03  -   SELL    -5  128.0000    640.00  -1.01   0.00     
+U1418343   AAPL    2015-04-28, 06:00:36    2015-05-01  -   SELL    -10 134.9000    1,349.00    -1.02   0.00     
+U1418343   AAPL    2015-05-15, 09:32:46    2015-05-20  -   SELL    -10 129.4100    1,294.10    -1.02   0.00     
+U1418343   AAPL    2015-05-18, 10:02:14    2015-05-21  -   SELL    -10 129.4400    1,294.40    -1.02   0.00     
+U1418343   AAPL    2015-05-18, 11:09:03    2015-05-21  -   SELL    -10 129.4400    1,294.40    -1.02   0.00     
+U1418343   AAPL    2015-05-19, 10:27:49    2015-05-22  -   SELL    -10 130.0200    1,300.20    -1.02   0.00     
Total AAPL (Sold)   -60 130.5350    7,832.10    -7.14   0.00     
Total AAPL  10      -1,003.74   -15.14  0.00     
+U1418343   AHGP    2015-04-20, 12:26:03    2015-04-23  -   BUY 20  51.8500 -1,037.00   -1.00   0.00     
Total AHGP (Bought) 20  51.8500 -1,037.00   -1.00   0.00     
+U1418343   AHGP    2015-05-20, 14:03:00    2015-05-26  -   SELL    -10 48.5500 485.50  -1.01   0.00     
Total AHGP (Sold)   -10 48.5500 485.50  -1.01   0.00     
Total AHGP  10      -551.50 -2.01   0.00     
+U1418343   AMDA    2015-07-28, 09:47:32    2015-07-31  -   BUY 200 0.5850  -117.00 -1.00   0.00     
Total AMDA (Bought) 200 0.5850  -117.00 -1.00   0.00     
+U1418343   AVXL    2015-08-03, 14:30:26    2015-08-06  -   BUY 200 1.1300  -226.00 -1.00   0.00     
Total AVXL (Bought) 200 1.1300  -226.00 -1.00   0.00     
+U1418343   AVXL    2015-08-04, 12:46:52    2015-08-07  -   SELL    -100    1.4200  142.00  -1.00   0.00     
+U1418343   AVXL    2015-08-04, 12:47:23    2015-08-07  -   SELL    -100    1.4150  141.50  -1.00   0.00     
Total AVXL (Sold)   -200    1.4175  283.50  -2.01   0.00     
Total AVXL  0       57.50   -3.01   0.00     
+U1418343   BABA    2015-02-02, 11:04:11    2015-02-05  -   BUY 10  90.0000 -900.00 -1.00   0.00    P
+U1418343   BABA    2015-02-11, 13:15:50    2015-02-17  -   BUY 10  86.0100 -860.10 -1.00   0.00     
Total BABA (Bought) 20  88.0050 -1,760.10   -2.00   0.00     
+U1418343   BABA    2015-02-17, 09:03:58    2015-02-20  -   SELL    -20 88.4500 1,769.00    -1.03   0.00     
Total BABA (Sold)   -20 88.4500 1,769.00    -1.03   0.00     
Total BABA  0       8.90    -3.03   0.00     
+U1418343   BHI 2015-02-03, 15:37:39    2015-02-06  -   BUY 10  61.5000 -615.00 -1.00   0.00     
+U1418343   BHI 2015-02-24, 09:38:55    2015-02-27  -   BUY 10  63.1000 -631.00 -1.00   0.00     
Total BHI (Bought)  20  62.3000 -1,246.00   -2.00   0.00     
+U1418343   BHI 2015-02-04, 09:05:37    2015-02-09  -   SELL    -10 60.8200 608.20  -1.01   0.00     
+U1418343   BHI 2015-02-25, 09:41:56    2015-03-02  -   SELL    -10 62.9200 629.20  -1.01   0.00     
Total BHI (Sold)    -20 61.8700 1,237.40    -2.03   0.00     
Total BHI   0       -8.60   -4.03   0.00     
+U1418343   BRK B   2015-03-02, 10:32:49    2015-03-05  -   BUY 10  147.0000    -1,470.00   -1.00   0.00     
Total BRK B (Bought)    10  147.0000    -1,470.00   -1.00   0.00     
+U1418343   BRK B   2015-05-08, 10:52:44    2015-05-13  -   SELL    -5  147.2400    736.20  -1.01   0.00     
+U1418343   BRK B   2015-05-11, 09:30:49    2015-05-14  -   SELL    -5  148.1200    740.60  -1.01   0.00     
Total BRK B (Sold)  -10 147.6800    1,476.80    -2.03   0.00     
Total BRK B 0       6.80    -3.03   0.00     
+U1418343   BX  2015-03-02, 10:00:05    2015-03-05  -   BUY 100 38.0000 -3,800.00   -1.00   0.00     
+U1418343   BX  2015-03-18, 10:32:27    2015-03-23  -   BUY 25  37.9900 -949.75 -1.00   0.00     
+U1418343   BX  2015-03-26, 09:30:01    2015-03-31  -   BUY 25  37.6000 -940.00 -1.00   0.00     
+U1418343   BX  2015-04-23, 09:37:47    2015-04-28  -   BUY 20  41.0000 -820.00 -1.00   0.00     
+U1418343   BX  2015-07-07, 10:08:08    2015-07-10  -   BUY 15  39.0000 -585.00 -1.00   0.00     
+U1418343   BX  2015-07-23, 10:59:53    2015-07-28  -   BUY 15  40.0000 -600.00 -1.00   0.00     
Total BX (Bought)   200 38.47375    -7,694.75   -6.00   0.00     
+U1418343   BX  2015-03-04, 10:17:31    2015-03-09  -   SELL    -100    38.3120 3,831.20    -1.07   0.00    D
Total BX (Sold) -100    38.3120 3,831.20    -1.07   0.00     
Total BX    100     -3,863.55   -7.07   0.00     
+U1418343   COP 2015-07-21, 13:37:45    2015-07-24  -   BUY 10  56.3600 -563.60 -1.00   0.00     
Total COP (Bought)  10  56.3600 -563.60 -1.00   0.00     
+U1418343   CSIQ    2015-05-21, 10:15:31    2015-05-27  -   BUY 10  34.5260 -345.26 -1.00   0.00    D
+U1418343   CSIQ    2015-07-15, 11:15:41    2015-07-20  -   BUY 10  26.7100 -267.10 -1.00   0.00     
Total CSIQ (Bought) 20  30.6180 -612.36 -2.00   0.00     
+U1418343   CVX 2015-05-18, 14:54:59    2015-05-21  -   BUY 10  106.6600    -1,066.60   -1.00   0.00     
Total CVX (Bought)  10  106.6600    -1,066.60   -1.00   0.00     
+U1418343   DIS 2015-03-02, 10:34:16    2015-03-05  -   BUY 10  105.9000    -1,059.00   -1.00   0.00     
